datetime,open,high,low,close
2021-05-30,1.41858,1.41941,1.41795,1.41796
2021-05-31,1.41795,1.42007,1.4164,1.41836
2021-06-01,1.42425,1.4247,1.41457,1.41556
2021-06-02,1.41557,1.41834,1.41118,1.41712
2021-06-03,1.41711,1.42032,1.40867,1.41081
2021-06-04,1.41082,1.42004,1.40835,1.41584
2021-06-07,1.41417,1.41911,1.41114,1.41757
2021-06-08,1.41758,1.41846,1.41211,1.41493
2021-06-09,1.41492,1.41891,1.41101,1.41113
2021-06-10,1.41112,1.41783,1.40734,1.41705
2021-06-11,1.41706,1.41854,1.40959,1.41108
2021-06-13,1.4108,1.41192,1.41051,1.41176
2021-06-14,1.41177,1.4124,1.40704,1.41097
2021-06-15,1.41098,1.4129,1.40344,1.4081
2021-06-16,1.40809,1.41328,1.39827,1.39892
2021-06-17,1.39891,1.40088,1.3896,1.39381
2021-06-18,1.3938,1.39447,1.37923,1.38031
2021-06-20,1.38101,1.38235,1.37964,1.38166
2021-06-21,1.38167,1.39371,1.37867,1.39245
2021-06-22,1.39244,1.39637,1.38604,1.39495
2021-06-23,1.39494,1.40015,1.3924,1.3967
2021-06-24,1.39669,1.39867,1.38898,1.39163
2021-06-25,1.39162,1.39356,1.38715,1.38857
2021-06-27,1.38938,1.38963,1.38787,1.38933
2021-06-28,1.38934,1.39398,1.3871,1.38787
2021-06-29,1.38786,1.38808,1.38144,1.38404
2021-06-30,1.38403,1.38731,1.37987,1.38286
2021-07-01,1.38287,1.38343,1.37519,1.37592
2021-07-02,1.37591,1.38447,1.37341,1.38299
2021-07-05,1.38235,1.3862,1.38185,1.38534
2021-07-06,1.3853,1.38985,1.37731,1.38042
2021-07-07,1.38043,1.3842,1.3754,1.37998
2021-07-08,1.37999,1.38022,1.37419,1.37899
2021-07-09,1.379,1.39091,1.37558,1.39091
2021-07-11,1.38967,1.39016,1.38888,1.38988
2021-07-12,1.38986,1.39104,1.38391,1.38865
2021-07-13,1.38867,1.39052,1.38832,1.38976
2021-07-14,1.38056,1.38921,1.38016,1.38565
2021-07-15,1.38566,1.38991,1.38051,1.38282
2021-07-16,1.38281,1.38622,1.37609,1.37679
