datetime,open,high,low,close
2021-08-17 12:00:00,1.3789,1.37958,1.37339,1.37382
2021-08-17 16:00:00,1.37381,1.3746,1.37263,1.3739
2021-08-17 20:00:00,1.37389,1.37461,1.37294,1.37402
2021-08-18 00:00:00,1.37401,1.37592,1.37372,1.37531
2021-08-18 04:00:00,1.37532,1.37549,1.37316,1.37418
2021-08-18 08:00:00,1.37417,1.37694,1.37382,1.3769
2021-08-18 12:00:00,1.37689,1.3771,1.3746,1.37471
2021-08-18 16:00:00,1.37472,1.37866,1.37452,1.37578
2021-08-18 20:00:00,1.37577,1.37584,1.37432,1.37432
2021-08-19 00:00:00,1.37433,1.375,1.3712,1.37202
2021-08-19 04:00:00,1.37203,1.37232,1.36909,1.36972
2021-08-19 08:00:00,1.36971,1.36993,1.36656,1.36815
2021-08-19 12:00:00,1.36816,1.36924,1.36528,1.36714
2021-08-19 16:00:00,1.36715,1.36734,1.36321,1.36344
2021-08-19 20:00:00,1.36345,1.36438,1.36282,1.36303
2021-08-20 00:00:00,1.36308,1.36412,1.36182,1.36301
2021-08-20 04:00:00,1.363,1.36353,1.36096,1.36179
2021-08-20 08:00:00,1.3618,1.36301,1.36064,1.3612
2021-08-20 12:00:00,1.36122,1.36355,1.36023,1.36263
2021-08-20 16:00:00,1.36262,1.36341,1.36188,1.36253
2021-08-20 20:00:00,1.36252,1.36284,1.36222,1.36242
2021-08-22 20:00:00,1.36226,1.36313,1.36144,1.36247
2021-08-23 00:00:00,1.36248,1.3655,1.36246,1.36485
2021-08-23 04:00:00,1.36484,1.36623,1.36326,1.36496
2021-08-23 08:00:00,1.36497,1.36858,1.36451,1.36823
2021-08-23 12:00:00,1.36824,1.37215,1.36804,1.37161
2021-08-23 16:00:00,1.3716,1.37323,1.37158,1.37287
2021-08-23 20:00:00,1.37286,1.37307,1.37175,1.37236
2021-08-24 00:00:00,1.37233,1.3726,1.37109,1.37173
2021-08-24 04:00:00,1.3717,1.3748,1.3714,1.37167
2021-08-24 08:00:00,1.37166,1.37324,1.3694,1.37211
2021-08-24 12:00:00,1.3721,1.37476,1.37067,1.3715
2021-08-24 16:00:00,1.37151,1.37319,1.3712,1.37316
2021-08-24 20:00:00,1.37315,1.37338,1.37225,1.37249
2021-08-25 00:00:00,1.3725,1.3732,1.3714,1.37188
2021-08-25 04:00:00,1.37189,1.3727,1.37069,1.37187
2021-08-25 08:00:00,1.37188,1.37433,1.37121,1.37155
2021-08-25 12:00:00,1.37156,1.37366,1.36968,1.37218
2021-08-25 16:00:00,1.37217,1.3767,1.37211,1.37603
2021-08-25 20:00:00,1.37602,1.37653,1.37539,1.37645
2021-08-26 00:00:00,1.37644,1.37681,1.37499,1.37521
2021-08-26 04:00:00,1.37522,1.37592,1.3738,1.37478
2021-08-26 08:00:00,1.37479,1.375,1.37314,1.37343
2021-08-26 12:00:00,1.37344,1.37352,1.37099,1.37121
2021-08-26 16:00:00,1.37122,1.37163,1.36896,1.37003
